Author	Title	City	Publisher	Year	Pages	Size	Price
Agatha [Mej. R. de Goeje]	 Van de school in het leven	Eenige bladzijden nit Anna's geschiedenis Leiden	E	1889	Unknown	Unknown	f 1.90
Agatha [Mej. R. de Goeje]	 -- Vereenigd, niet één	Nijmegen	H	1889	Unknown	Unknown	f 1.50
Agatha [Mej. R. de Goeje]	Vertel eens wat	Rott	Jac	1885	Unknown	Unknown	f 1.40
Agatha [Mej. R. de Goeje]	Vertellingen uit den Bijbel	Amst	Tj	1886	Unknown	Unknown	f 3.50
Agatha [Mej. R. de Goeje]	Verrassende prentenboeken	Amst	L	Unknown	Unknown	Unknown	f 0.40
Agatha [Mej. R. de Goeje]	Waar is ma? Praatjes hij plaatjes	Purmerend	J	1888	Unknown	Unknown	Unknown
Agatha [Mej. R. de Goeje]	 Wilt ge een versje leeren? Versjes bij teekeningen van Lizzie Mack en R	Amst	Jac	1887	Unknown	Unknown	Unknown
Agatha [Mej. R. de Goeje]	Lentebloesem	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Agenda voor 1884-1892. Assen	van Gorcum & Co	Unknown	Unknown	Unknown	Unknown	Unknown	f 0.75
Agenda voor '1884-1892	met drie datums, Zwolle, W	in linnenband	elke jaarg	Unknown	Unknown	Unknown	f 0.60
Agenda  -voor 1884 -1890 onder red. van J. D. Doorman. Utr.		man's Zak-)	Zie aldaar, 	Unknown	Unknown	Unknown	f 1.30
Agenda voor 1891 en 1892. 's Bosch	W	Unknown	Unknown	1892	Unknown	Unknown	f 1.50
Unknown	Agenda  - ten gebruike aan inrichtingen van meer uitgebreid lager-, middelbaar en gymnasiaal onderwijs voor 188384-1891/92	Amst	B	Unknown	Unknown	Unknown	f 0.60
Agenda voor dames voor 1884 en 1885. Utr.	J W	iu linnen band	elke jaargang f 0	1885	Unknown	Unknown	f 0.60
Unknown	Agenda  -voor gemeentebesturen Jaarboekje voor burgemeesters, secretarissen en gemeen onder redactie van C	Utr	J	Unknown	Unknown	Unknown	f 1.90
Agenda voor genees-en heelkundigen. 13e druk. Amst.	v	Utr	J	1891	Unknown	Unknown	f 0.25
Agenda  (Buvard) en sousmains voor 1884 -1892. 's Bosch	W	van Heusden	fol	Unknown	Unknown	Unknown	f 1.75
